code,location,registered,enveloped,valid,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
5204,Rokytnice v Orlických horách,1 688,879,877,"25,54","0,00","0,00","0,00","0,22","7,06","7,63","0,22","11,74","0,34","1,36","0,11","0,34","0,11","0,34","6,27","0,45","0,79","1,59","11,74","4,10","10,37","9,23","0,34"
5204,Rybná nad Zdobnicí,347,242,240,"28,75","0,41","0,41","0,00","1,25","10,83","8,33","0,00","7,50","0,00","2,50","0,00","0,00","0,00","0,83","3,33","0,00","0,00","2,08","17,50","2,91","9,58","3,33","0,41"
5204,Rychnov nad Kněžnou,8 782,5 365,5 331,"30,91","0,09","0,03","0,13","0,18","8,34","6,13","0,09","13,24","0,33","0,67","0,05","0,13","0,09","0,20","4,61","0,31","2,19","1,42","10,50","3,69","10,01","6,41","0,13"
5204,Říčky v Orlických horách,93,66,64,"17,18","0,00","0,00","1,56","0,00","3,12","9,37","0,00","28,12","0,00","1,56","0,00","0,00","3,12","3,12","4,68","0,00","4,68","0,00","4,68","0,00","12,50","4,68","1,56"
5204,Sedloňov,195,121,121,"30,57","0,00","0,82","0,00","0,00","9,09","4,95","0,00","4,13","0,82","1,65","0,00","0,00","0,00","0,00","4,13","0,00","2,47","1,65","14,87","14,04","8,26","1,65","0,82"
5204,Semechnice,333,240,239,"34,30","0,00","0,00","0,00","1,25","3,76","6,27","0,00","15,06","0,41","0,41","0,00","0,00","0,00","0,00","6,69","0,00","1,67","2,09","8,78","2,92","9,20","7,11","0,00"
5204,Skuhrov nad Bělou,882,592,586,"38,22","0,17","0,00","0,00","0,17","7,67","8,70","0,00","5,80","0,51","1,19","0,00","0,00","0,17","0,68","3,75","0,51","1,87","1,87","10,40","4,77","7,84","5,63","0,00"
5204,Slatina nad Zdobnicí,678,430,425,"34,11","0,23","0,00","0,00","0,23","8,70","6,35","0,00","9,41","0,23","1,88","0,00","0,23","0,23","0,23","5,64","0,47","0,47","2,82","11,52","1,64","8,94","6,58","0,00"
5204,Sněžné,108,82,81,"34,56","0,00","0,00","1,23","0,00","2,46","16,04","0,00","12,34","0,00","1,23","0,00","0,00","0,00","1,23","3,70","0,00","0,00","0,00","7,40","6,17","4,93","8,64","0,00"
5204,Solnice,1 715,1 054,1 050,"42,57","0,09","0,09","0,00","0,19","5,90","6,19","0,00","10,95","0,19","1,04","0,09","0,00","0,09","0,09","3,71","0,19","1,90","0,85","9,90","2,57","7,42","5,71","0,19"
5204,Svídnice,141,88,87,"41,37","0,00","0,00","0,00","0,00","6,89","8,04","0,00","4,59","0,00","0,00","0,00","0,00","0,00","0,00","4,59","0,00","1,14","2,29","11,49","10,34","8,04","1,14","0,00"
5204,Synkov-Slemeno,308,192,192,"32,29","0,00","0,00","0,00","1,04","8,85","7,81","0,00","6,25","0,52","1,56","0,00","0,00","0,52","0,52","4,68","0,00","1,56","0,00","15,62","3,64","12,50","2,08","0,52"
5204,Trnov,599,399,399,"30,82","0,00","0,25","0,00","0,00","8,27","13,03","0,00","7,76","0,75","1,00","0,00","0,00","0,00","0,00","7,26","0,50","2,50","0,50","8,52","4,01","9,02","5,76","0,00"
5204,Třebešov,209,150,150,"28,66","0,00","0,00","0,00","0,66","11,33","8,66","0,00","16,00","0,00","0,00","0,00","0,00","0,66","0,66","2,66","0,00","0,66","0,66","14,66","2,00","8,66","4,00","0,00"
5204,Tutleky,289,197,197,"32,48","0,00","0,00","0,00","0,50","13,19","4,56","0,00","15,22","0,00","2,53","0,00","0,00","0,00","1,01","3,04","0,00","1,01","1,52","11,16","1,52","9,13","3,04","0,00"
5204,Týniště nad Orlicí,4 897,2 949,2 925,"30,01","0,10","0,20","0,10","0,23","11,72","4,75","0,13","8,51","1,36","0,78","0,06","0,13","0,10","0,23","3,79","1,19","1,53","0,95","11,07","5,16","10,32","7,11","0,34"
5204,Val,240,169,169,"40,23","0,00","0,00","0,00","0,00","4,73","21,30","0,00","4,73","0,00","0,59","0,00","0,00","0,00","0,00","0,59","0,00","2,95","1,18","8,87","3,55","10,05","1,18","0,00"
5204,Vamberk,3 681,2 184,2 164,"33,41","0,00","0,23","0,13","0,23","8,54","4,25","0,00","10,53","0,78","1,24","0,09","0,04","0,00","0,41","3,65","0,23","1,57","1,15","14,64","2,91","8,68","6,70","0,50"
5204,Voděrady,568,396,392,"29,08","0,25","0,00","0,00","0,25","8,67","8,41","0,25","13,26","0,25","1,27","0,00","0,00","0,00","0,00","5,86","1,02","0,76","0,51","10,71","3,82","9,69","5,86","0,00"
5204,Vrbice,120,89,88,"14,77","1,13","0,00","1,13","0,00","1,13","21,59","0,00","13,63","2,27","4,54","0,00","0,00","0,00","0,00","11,36","0,00","0,00","0,00","9,09","6,81","5,68","6,81","0,00"
5204,Záměl,523,344,340,"33,82","0,00","0,00","0,29","0,00","9,70","3,82","0,00","9,41","0,29","1,17","0,29","0,29","0,00","0,58","5,88","0,88","2,05","1,76","7,94","2,64","12,64","6,47","0,00"
5204,Zdelov,200,131,131,"25,95","0,00","0,76","0,00","0,76","9,16","0,76","0,00","6,87","0,76","0,00","0,00","0,00","0,00","0,00","2,29","0,00","6,10","0,76","20,61","7,63","9,92","6,87","0,76"
5204,Zdobnice,154,100,100,"25,00","3,00","0,00","0,00","4,00","4,00","9,00","0,00","14,00","0,00","1,00","0,00","0,00","0,00","0,00","3,00","1,00","3,00","6,00","12,00","1,00","13,00","0,00","1,00"
5204,Žďár nad Orlicí,395,229,227,"27,31","0,44","0,44","0,88","1,32","5,28","4,40","1,32","9,25","0,44","0,44","0,00","0,00","0,00","0,00","10,57","2,64","0,44","1,76","7,48","4,40","12,77","8,37","0,00"
